time_s,adc,target,integral,error,kp,ki,output_x100,duty
42.60747408866882,2124,2048,1777,-76,0.01,0.002,5279,53
42.716474533081055,2140,2048,1767,-92,0.01,0.002,5262,53
42.825472831726074,2131,2048,1759,-83,0.01,0.002,5269,53
42.934980630874634,2135,2048,1750,-87,0.01,0.002,5263,53
43.04398059844971,2133,2048,1742,-85,0.01,0.002,5263,53
43.15278172492981,2147,2048,1732,-99,0.01,0.002,5247,52
43.26178169250488,2125,2048,1724,-77,0.01,0.002,5268,53
43.37081813812256,2153,2048,1714,-105,0.01,0.002,5238,52
43.47981834411621,2122,2048,1706,-74,0.01,0.002,5267,53
43.58930420875549,2152,2048,1696,-104,0.01,0.002,5235,52
43.698304176330566,2124,2048,1688,-76,0.01,0.002,5262,53
43.807090520858765,2147,2048,1678,-99,0.01,0.002,5237,52
43.9158775806427,2121,2048,1671,-73,0.01,0.002,5261,53
44.02568459510803,2145,2048,1661,-97,0.01,0.002,5235,52
44.134684801101685,2121,2048,1654,-73,0.01,0.002,5258,53
44.24372458457947,2130,2048,1646,-82,0.01,0.002,5247,52
44.35272431373596,2126,2048,1638,-78,0.01,0.002,5250,52
44.46172595024109,2143,2048,1629,-95,0.01,0.002,5231,52
44.57072424888611,2120,2048,1621,-72,0.01,0.002,5252,53
44.67972683906555,2140,2048,1612,-92,0.01,0.002,5231,52
44.788724422454834,2118,2048,1605,-70,0.01,0.002,5251,53
44.89772343635559,2143,2048,1596,-95,0.01,0.002,5224,52
45.0067241191864,2113,2048,1589,-65,0.01,0.002,5253,53
45.115724325180054,2144,2048,1580,-96,0.01,0.002,5220,52
45.22472405433655,2114,2048,1573,-66,0.01,0.002,5249,52
45.3337242603302,2144,2048,1563,-96,0.01,0.002,5217,52
45.44292616844177,2114,2048,1557,-66,0.01,0.002,5245,52
45.55137777328491,2142,2048,1547,-94,0.01,0.002,5216,52
45.6610541343689,2116,2048,1541,-68,0.01,0.002,5240,52
45.77005410194397,2138,2048,1532,-90,0.01,0.002,5216,52
45.87856340408325,2115,2048,1525,-67,0.01,0.002,5238,52
45.98756265640259,2139,2048,1516,-91,0.01,0.002,5212,52
46.09660220146179,2092,2048,1511,-44,0.01,0.002,5258,53
46.20660209655762,2148,2048,1501,-100,0.01,0.002,5200,52
46.31460237503052,2093,2048,1497,-45,0.01,0.002,5254,53
46.42363882064819,2127,2048,1489,-79,0.01,0.002,5219,52
46.5336389541626,2114,2048,1482,-66,0.01,0.002,5231,52
46.64263892173767,2119,2048,1475,-71,0.01,0.002,5224,52
46.75173544883728,2116,2048,1469,-68,0.01,0.002,5226,52
46.86073136329651,2119,2048,1461,-71,0.01,0.002,5221,52
