time_s,mcu_tick_ms,adc,target,integral,error,kp,ki,output_x100,duty
27.229199171066284,26749,2290,2400,2770,110,0.01,0.002,5664,57
27.339321851730347,26859,2305,2400,2779,95,0.01,0.002,5651,57
27.449018955230713,26969,2301,2400,2789,99,0.01,0.002,5657,57
27.559442281723022,27079,2285,2400,2801,115,0.01,0.002,5675,57
27.669440269470215,27189,2312,2400,2809,88,0.01,0.002,5650,56
27.779475688934326,27299,2301,2400,2819,99,0.01,0.002,5663,57
27.889473915100098,27409,2287,2400,2831,113,0.01,0.002,5679,57
27.999471426010132,27519,2311,2400,2839,89,0.01,0.002,5657,57
28.10954523086548,27629,2283,2400,2851,117,0.01,0.002,5687,57
28.219542980194092,27739,2297,2400,2861,103,0.01,0.002,5675,57
28.329530954360962,27849,2313,2400,2870,87,0.01,0.002,5661,57
28.439849376678467,27959,2286,2400,2882,114,0.01,0.002,5690,57
28.550079107284546,28069,2316,2400,2890,84,0.01,0.002,5662,57
28.660077333450317,28179,2303,2400,2900,97,0.01,0.002,5677,57
28.770076513290405,28289,2295,2400,2910,105,0.01,0.002,5687,57
28.879982233047485,28399,2316,2400,2919,84,0.01,0.002,5668,57
28.990007400512695,28509,2290,2400,2930,110,0.01,0.002,5696,57
29.100005626678467,28619,2302,2400,2939,98,0.01,0.002,5686,57
29.209512948989868,28729,2315,2400,2948,85,0.01,0.002,5675,57
29.32002568244934,28839,2289,2400,2959,111,0.01,0.002,5703,57
29.430023431777954,28949,2302,2400,2969,98,0.01,0.002,5692,57
29.5401291847229,29059,2317,2400,2977,83,0.01,0.002,5679,57
29.650126934051514,29169,2295,2400,2988,105,0.01,0.002,5703,57
29.760125160217285,29279,2302,2400,2997,98,0.01,0.002,5698,57
29.87015676498413,29389,2320,2400,3005,80,0.01,0.002,5681,57
29.980648279190063,29499,2292,2400,3016,108,0.01,0.002,5711,57
30.09013533592224,29609,2325,2400,3024,75,0.01,0.002,5680,57
30.200132369995117,29719,2288,2400,3035,112,0.01,0.002,5719,57
30.310165882110596,29829,2308,2400,3044,92,0.01,0.002,5701,57
30.420164108276367,29939,2321,2400,3052,79,0.01,0.002,5689,57
30.53016209602356,30049,2297,2400,3062,103,0.01,0.002,5716,57
30.640159845352173,30159,2309,2400,3071,91,0.01,0.002,5705,57
30.750195741653442,30269,2305,2400,3081,95,0.01,0.002,5711,57
30.860193490982056,30379,2307,2400,3090,93,0.01,0.002,5711,57
30.97019124031067,30489,2325,2400,3098,75,0.01,0.002,5695,57
31.081228017807007,30599,2296,2400,3108,104,0.01,0.002,5726,57
31.191226482391357,30709,2312,2400,3117,88,0.01,0.002,5711,57
31.300251245498657,30819,2325,2400,3124,75,0.01,0.002,5700,57
31.41024947166443,30929,2302,2400,3134,98,0.01,0.002,5725,57
31.52075505256653,31039,2310,2400,3143,90,0.01,0.002,5719,57
31.630927085876465,31149,2330,2400,3150,70,0.01,0.002,5700,57
31.740410566329956,31259,2301,2400,3160,99,0.01,0.002,5731,57
31.85140824317932,31369,2313,2400,3169,87,0.01,0.002,5721,57
31.96040654182434,31479,2328,2400,3176,72,0.01,0.002,5707,57
32.071404457092285,31589,2307,2400,3185,93,0.01,0.002,5730,57
32.181015968322754,31699,2313,2400,3194,87,0.01,0.002,5726,57
32.291013956069946,31809,2332,2400,3201,68,0.01,0.002,5708,57
32.40106177330017,31919,2306,2400,3210,94,0.01,0.002,5736,57
32.511059522628784,32029,2319,2400,3218,81,0.01,0.002,5725,57
32.621217489242554,32139,2327,2400,3226,73,0.01,0.002,5718,57
32.73121523857117,32249,2311,2400,3234,89,0.01,0.002,5736,57
32.84172248840332,32359,2317,2400,3243,83,0.01,0.002,5732,57
32.95172071456909,32469,2330,2400,3250,70,0.01,0.002,5720,57
33.061312437057495,32579,2329,2400,3257,71,0.01,0.002,5722,57
33.17155575752258,32689,2310,2400,3266,90,0.01,0.002,5743,57
33.280967235565186,32799,2316,2400,3274,84,0.01,0.002,5739,57
33.39155340194702,32909,2337,2400,3281,63,0.01,0.002,5719,57
33.50205945968628,33019,2311,2400,3289,89,0.01,0.002,5747,57
33.61217999458313,33129,2323,2400,3297,77,0.01,0.002,5737,57
33.72219228744507,33239,2317,2400,3305,83,0.01,0.002,5744,57
33.83133840560913,33349,2316,2400,3314,84,0.01,0.002,5747,57
33.941336154937744,33459,2340,2400,3320,60,0.01,0.002,5724,57
34.051334619522095,33569,2310,2400,3329,90,0.01,0.002,5756,58
34.16233229637146,33679,2325,2400,3336,75,0.01,0.002,5742,57
34.27233028411865,33789,2318,2400,3345,82,0.01,0.002,5751,58
34.382328271865845,33899,2320,2400,3353,80,0.01,0.002,5751,58
34.49232625961304,34009,2321,2400,3360,79,0.01,0.002,5751,58
34.60232424736023,34119,2321,2400,3368,79,0.01,0.002,5753,58
34.71232199668884,34229,2322,2400,3376,78,0.01,0.002,5753,58
34.822587728500366,34339,2340,2400,3382,60,0.01,0.002,5737,57
34.932653188705444,34449,2319,2400,3390,81,0.01,0.002,5759,58
35.04265117645264,34559,2344,2400,3396,56,0.01,0.002,5735,57
35.15273880958557,34669,2318,2400,3404,82,0.01,0.002,5763,58
35.26224231719971,34779,2344,2400,3410,56,0.01,0.002,5738,57
35.37228274345398,34889,2337,2400,3416,63,0.01,0.002,5746,57
35.48228096961975,34999,2321,2400,3424,79,0.01,0.002,5764,58
35.59237790107727,35109,2326,2400,3431,74,0.01,0.002,5760,58
35.70237588882446,35219,2344,2400,3437,56,0.01,0.002,5743,57
35.81240773200989,35329,2318,2400,3445,82,0.01,0.002,5771,58
35.9224054813385,35439,2349,2400,3450,51,0.01,0.002,5741,57
36.032395362854004,35549,2318,2400,3458,82,0.01,0.002,5774,58
36.142905950546265,35659,2348,2400,3464,52,0.01,0.002,5745,57
36.252904176712036,35769,2337,2400,3470,63,0.01,0.002,5757,58
36.36290192604065,35879,2326,2400,3477,74,0.01,0.002,5770,58
36.47272062301636,35989,2330,2400,3484,70,0.01,0.002,5767,58
36.58328461647034,36099,2348,2400,3489,52,0.01,0.002,5750,58
36.6932954788208,36209,2341,2400,3495,59,0.01,0.002,5758,58
36.80329394340515,36319,2324,2400,3503,76,0.01,0.002,5777,58
36.913291454315186,36429,2352,2400,3508,48,0.01,0.002,5750,57
37.023186922073364,36539,2322,2400,3516,78,0.01,0.002,5781,58
37.133185625076294,36649,2334,2400,3522,66,0.01,0.002,5771,58
37.24322199821472,36759,2349,2400,3527,51,0.01,0.002,5757,58
37.353222608566284,36869,2327,2400,3535,73,0.01,0.002,5780,58
37.46321749687195,36979,2333,2400,3541,67,0.01,0.002,5775,58
37.57321572303772,37089,2354,2400,3546,46,0.01,0.002,5755,58
37.68331718444824,37199,2344,2400,3551,56,0.01,0.002,5766,58
37.793315172195435,37309,2331,2400,3558,69,0.01,0.002,5781,58
37.90333962440491,37419,2332,2400,3565,68,0.01,0.002,5781,58
38.013564348220825,37529,2352,2400,3570,48,0.01,0.002,5762,58
38.1237907409668,37639,2326,2400,3577,74,0.01,0.002,5790,58
38.23335599899292,37749,2340,2400,3583,60,0.01,0.002,5777,58
